track_id,track_name,artists,popularity,track_genre,cluster
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,100,dance,4
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,99,hip-hop,0
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta;Bebe Rexha,98,dance,4
5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,98,latin,0
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny;Chencho Corleone,97,latin,0
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,97,latin,4
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,96,piano,0
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,96,dance,4
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,96,latin,0
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,95,pop,0
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny;Bomba Estéreo,95,latin,4
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,94,pop,2
6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,94,latin,0
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,93,reggae,0
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,93,dance,0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,93,alt-rock,4
31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,93,latin,0
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,93,chill,2
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema;Selena Gomez,92,pop,0
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,92,pop,0
0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,92,dance,0
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,92,garage,2
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,92,dance,0
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,91,hip-hop,4
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,91,pop,4
6i1g5ZRmJZAkDwBaUZ3f2i,Caile,Luar La L,91,latin,0
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,90,pop,4
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd;Gesaffelstein,90,pop,4
1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,KAROL G;Maldy,90,reggae,4
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),Kate Bush,90,piano,2
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,90,pop,2
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,90,folk,4
7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,90,rock,4
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,90,pop,4
38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,90,hip-hop,4
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,89,country,2
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish;Khalid,89,pop,2
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,89,indie,2
5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,88,pop,2
5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,88,pop,2
6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,88,indian,2
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,88,pop,2
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,88,soul,2
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies;Calum Scott,88,dance,2
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,88,pop,2
7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,86,indie-pop,3
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,86,electro,1
2bRKxuH1o7pTmb1y4GfdEc,Clean White Noise - Loopable with no fade,White Noise Baby Sleep;White Noise for Babies,85,sleep,1
2vWBUC9djv6BtiGlmKiQaH,YKWIM?,Yot Club,84,indie-pop,3
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,84,ambient,3
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,Mitski,83,indie-pop,3
7H7NyZ3G075GqPx2evsfeb,Chamber Of Reflection,Mac DeMarco,82,edm,3
11iIikXxC6NP0Ma8vMD27x,Alien Blues,Vundabar,82,garage,3
5Qnrgqy1pAm9GyNQOgyVFz,Fourth of July,Sufjan Stevens,81,singer-songwriter,1
6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,Mac DeMarco,81,edm,3
2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets,Metallica,81,hard-rock,3
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,81,british,1
51Grh1RyUDcMBbpuyUIUHI,rises the moon,Liana Flores,81,indie-pop,1
5UBonaClAZVfzxJNn8nnhh,Brown Sleep Noise,Sleep Miracle,80,sleep,1
3zksbXteOCeSusJ5Xltr3t,Bubble Gum,Clairo,80,indie-pop,1
5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Avicii,79,edm,3
1BncfTJAWxrsxyT9culBrj,Experience,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,79,ambient,1
0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,78,alternative,3
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,Cigarettes After Sex,78,ambient,3
1FWsomP9StpCcXNWmJk8Cl,K.,Cigarettes After Sex,78,ambient,3
4pTkDIlpFNoeWbahu8pVXW,Shootout,Izzamuzzic;Julien Marchal,78,electro,3
38GBNKZUhfBkk3oNlWzRYd,NDA,Billie Eilish,77,electro,3
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,salvia palth,77,emo,1
26ZzSLUJMmYp5u1hDELEWH,Transgender,Crystal Castles,76,alternative,3
5pGBDKBaR63vuJ4g8ialcU,Deep Sleep Recovery Noise,Water Sound Natural White Noise,76,sleep,1
20GlDz2SYsXF8pzdxguxfe,"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",White Noise Baby Sleep,75,sleep,1
7qH9Z4dJEN0l9bidizW7fq,Anchor,Novo Amor,75,ambient,1
6pWgRkpqVfxnj3WuIcJ7WP,Cornfield Chase,Hans Zimmer,74,german,1
0CMYUXTTTmI6Lwc0opH2XG,Herinneringen,Sohn Aelia,74,sleep,1
14rZjW3RioG7WesZhYESso,"Comptine d'un autre été, l'après-midi",Yann Tiersen,73,ambient,1
